,0,1,2
0,Oxford International School - Sr. Sec. School,28.11414899999999,76.700526
1,Jhilmil Phulwari,28.1815362,76.6282976
2,hindustan 1st,28.1884747,76.61944419999999
3,Sri Shyam Advance Physiotherapy Centre Rewari,28.1945215,76.6243485
4,Sawan Kirpal Ruhani Mission (SKRM) - Rajinder Ashram,28.203165,76.65470499999999
5,SKY World School,28.211017,76.6239308
6,SMS International School,28.1708487,76.6963895
7,Saini Electrlcs Sator,28.1494469,76.7180958
8,Hindu Senior Secondary School,28.1885865,76.6161796
9,Madhusudhan School,28.198034,76.6300799
10,Government Boys Senior Secondary School,28.1940937,76.6120273
11,Government Girls Senior Secondary School,28.1982641,76.6097705
12,Pushpa Kanya Senior Secondary School,28.10739229999999,76.588826
16,Nidhi Public Sr Sec School,28.118488,76.7694321
18,Government Girls School,28.2058263,76.7936544
19,Government Primary School,28.2124479,76.79577259999999
20,Manohar Lal Public High School,28.211897,76.816773
21,Echotech Solution,28.1952617,76.8326807
22,MAHAVEERA ENTERPRISES,28.2135145,76.8386362
23,Sawan Kirpal Ruhani Mission (SKRM) - Rajinder Ashram,28.2301603,76.81039489999999
25,Penguin Kids School,28.2021917,76.8451585
27,Modern Academy,28.2128187,76.8437168
30,UCMAS,28.2057,76.83004
31,Jalla,28.131874,76.9859077
33,Sawan Kirpal Ruhani Mission (SKRM) - Kirpal Ashram,28.211984,76.95266699999999
34,Sawan Kirpal Ruhani Mission (SKRM) - Kirpal Ashram,28.229655,76.9167117
35,Sawan Kirpal Ruhani Mission (SKRM) - Rajinder Ashram,28.2341486,76.9300137
36,Mewat Model School,28.2035537,76.9601653
39,Hindu Hingh School,28.103823,76.9986869
40,Govt. High School Mahaniawas,28.2683669,76.6934347
46,Brightland Public School,28.2645282,76.6732152
47,Government S.S School,28.2580195,76.5579445
53,Lakshya Academy,28.3255049,76.778212
56,West Academy Sr. Sec. School,28.3376456,76.7729657
57,"Govt. School, Rajpura",28.34649869999999,76.7090298
60,Rao Lal Singh Public School,28.2683869,76.8293896
61,Master sapal singh chauhan,28.4216448,76.5940889
62,"Government Senior Secondary School, Patauda",28.4061253,76.6732152
64,Government Senior Secondary School,28.4097032,76.5383463
70,Dhankhar Senior Secondary School,28.446122,76.81897219999999
71,Government School,28.3724121,76.8671414
73,Dietitian & Aerobics Trainer - Dt. Amar,28.401066,76.9701334
74,VARDAN PUBLIC SCHOOL,28.3549852,76.9396732
75,Deepika School Primary Wing,28.35478789999999,76.9403045
76,Royal PG & Guest House (Imt Manesar),28.3673415,76.95015839999999
77,Deepika Public School,28.3510956,76.9478345
78,Little Steps Play School & Day Care,28.3858097,76.9568166
79,Sri Chaitanya School,28.3967499,76.9681535
80,BlazonBrite Kulam,28.381946,77.0089321
81,Government Primary School,28.3335627,76.9453114
82,Jhankar High School,28.3763609,76.9760974
83,Governmemt Senior Secondary School,28.4141106,76.9345075
85,Government Senior Secondary School,28.4016968,76.9868077
86,St Pauls School,28.4302017,76.9626858
87,Government Senior Secondary School,28.4428225,76.9338772
88,"VIBGYOR High School, Gurgaon",28.3885768,77.0616045
89,Reiki Training and Healing Centre,28.405113,77.04151999999999
90,OpteMom,28.413427,77.072243
91,British Oak Tree School,28.4267987,77.07169619999999
93,Institute Of Business Management & Research (IBMR),28.4307801,77.01988089999999
94,Gurgaon Coding Classes,28.4292995,77.0541488
95,"EuroKids Preschool Sushant Lok, Best Kindergarten in Gurgaon",28.4196272,77.08192820000001
96,J.N.S Sports Academy,28.429393,77.066508
97,Daffodil Kindergarten,28.4345552,77.0578855
98,Way 2 Fit Personal Trainers Group ( PERSONAL TRAINING AT HOME),28.4380064,77.05804169999999
99,Lic Advisor gurgaon sector 33,28.4446244,77.02194399999999
100,Institute of Astrology - Nakshatra Niketan,28.420214,77.097404
101,"Medick Curo Child Development Centre, Occupational Therapy , Speech Therapy, Autism Treatment In Gurgaon",28.4500501,77.0569561
102,Maria Montessori & Institute of Montessori teacher Training,28.4541101,77.0195176
