,0,1,2
0,Sonu Gift Palace & Studio,28.1881704,76.6171565
1,P. G. Goyal Industries,28.2045144,76.6557102
2,Amazed Planet Software Training,28.19033,76.61286419999999
3,Reliance Smart,28.1947069,76.62111689999999
4,Mohit Pickle Factory,28.1713533,76.6257653
5,The Veggi Store,28.17689559999999,76.61551550000001
6,Shivam Sun Solar System,28.18199799999999,76.618899
7,Store,28.1806985,76.61713739999999
8,Rustagi General Store Niiku Ki Dukan,28.1810057,76.6172539
9,Parshant Store,28.1810988,76.6167698
10,Jai Computer Care,28.1827932,76.61743609999999
11,Bharat Computers,28.1884375,76.61915929999999
12,Pearl Handloom,28.1877433,76.6167212
13,Archies Gift Gallery,28.1880252,76.6168526
14,AsanLoans.com,28.1868129,76.6140678
15,Hafed Oil Mill,28.1917838,76.6332103
16,Kwality Walls Ice cream,28.190363,76.6177001
17,Bikaner Sweets,28.19004889999999,76.6141888
18,Patanjali Store,28.1914549,76.61641039999999
19,Nav Jyoti,28.1904316,76.6136453
20,Fitlife,28.1915666,76.6146974
21,easyday Club,28.1906479,76.6128547
22,Navdeep Jewellers Pvt. Ltd. | 1st HALLMARK Jewellers in Rewari,28.1905785,76.61263579999999
23,ARADHANA FAMILY STORE,28.1909727,76.61311049999999
24,Anand Fashion,28.191983,76.61482889999999
25,Integriti,28.194859,76.62126099999999
26,Vishal Mega Mart,28.1909479,76.6123566
27,SHREE JEE OPTICALS,28.19173919999999,76.6135887
28,aradhana family store,28.192271,76.614058
29,PRINTOFAST POINT,28.190305,76.609308
30,Om Pal Kiryana Store,28.1872091,76.6036292
31,Satguru Telecom,28.1974181,76.6179612
32,narayan saini galai wala,28.1973601,76.61600899999999
33,Old Navdeep Jewellers,28.1969213,76.6142126
34,Narayan Sweets,28.20120989999999,76.615026
35,Aggarwal Pharma,28.19603739999999,76.61195959999999
36,Arun Flower.com,28.1977282,76.6131058
37,Havells Galaxy Store - Manoj Electricals,28.2008568,76.61516879999999
38,Amway product,28.204402,76.62290399999999
39,Amul,28.2024141,76.61037979999999
40,SAMSUNG Washing Machine Service Center Delhi,28.2040862,76.7314877
41,MOHIT TRUNK HOUSE,28.2043604,76.7810844
42,Jeffy Electronics,28.1945218,76.7882513
43,Bhumika Enterprises,28.1902466,76.7907254
44,Raheja Highway Arcade mall,28.205183,76.786971
45,New Ramesh Medical Hall,28.2059143,76.7925746
46,Baskin Robbins,28.20321539999999,76.7965107
47,Amtrk shed 1,28.205267,76.7953647
48,Royal Shops,28.123865,76.786549
49,Electronic Mechanised Systems,28.1169835,76.77959
50,Shree Ram Cateres & Lassi House Ambedkar Chowk Ghari Bolni Road Rewari,28.2064635,76.7982747
51,Jet Speed Computer Academy,28.1990222,76.6564027
53,Shreeji Metals Inc. Brass & Aluminium Products in Bhiwadi and Khushkhera,28.115976,76.786254
54,Amul,28.1592559,76.8136127
55,Bloom Impex,28.1262543,76.798433
56,Poonia Bhawan Budhi Bawal,28.1063536,76.7745742
57,Yaduvanshi Sweets,28.2222839,76.66917389999999
58,Alwar Fresh,28.1595597,76.8141907
59,Yaduvanshi Dairy,28.2187105,76.6649419
60,Veggifarms Kajaria OBC,28.1982716,76.8097332
61,Arsh Web Technologies,28.2006929,76.808996
62,Print Place,28.1971387,76.8107217
63,Haldiram's,28.1945648,76.81231720000001
64,BB-BHIWADI-GENESIS MALL,28.191174,76.81357
65,RJ Bakers,28.196177,76.8121697
66,Go4Pets Pet Hospital,28.195098,76.81286999999999
67,Apollo Pharmacy,28.1966426,76.8123695
68,Ferns N Petals,28.1964194,76.8126272
69,Republic of Chicken,28.1965933,76.8126565
70,Y K Sales,28.1953639,76.813501
71,Veggifarms Aaangan OBC,28.1977515,76.81247979999999
72,ARx Pharmacy,28.2056869,76.8084727
73,Apollo Pharmacy,28.1870237,76.8161863
74,CSP Infotech,28.2059898,76.80863889999999
75,INDUSTRIAL EQUIPMENT COMPANY,28.20676019999999,76.8101038
76,Interior Trends,28.1817795,76.8202491
77,veggifarms Nimai OBC,28.1831047,76.8213004
78,Patanjali Chikitsalaya,28.2089228,76.8138367
79,Arise Ad World,28.15759,76.822889
83,Singhal System Solutions Pvt. Ltd.,28.214046,76.843414
85,Vaishno Packers & Movers ✓ [en],28.20615089999999,76.8440282
92,Echotech Solution,28.1952617,76.8326807
94,Paragon Autotech Products P Ltd,28.183677,76.85729599999999
97,Veggifarms.com,28.198207,76.8187944
102,Continental Cooling Company,28.1924707,76.8547761
104,"Model Makers India (landscape model makers, 3d model makers in india)",28.201103,76.838179
106,Packers and Movers,28.1932341,76.8551518
107,Word of Titan,28.2016558,76.83666400000001
109,Reliance Super,28.20095229999999,76.8478756
110,Reliance SMART,28.2009739,76.848065
111,Patanjali Mega Store,28.2011186,76.8478303
113,Supermica Pvt. Ltd,28.1958454,76.86183989999999
114,EasyDay Club,28.2083543,76.823848
115,Santosh Electricals,28.1972106,76.86274039999999
119,Anand Furnitures House - Furnitures in Bhiwadi,28.210058,76.820936
120,Brijwasi Sweets Tauru,28.2113383,76.9515691
121,ROCK POWER INDUSTRY,28.2119674,76.9512041
122,Ecom Express,28.2119674,76.9512041
123,Anuskha Agencies,28.2112566,76.95720779999999
124,Polytag,28.163166,76.875799
125,MW WIRETEC.PVT.LTD - Welding Wires,28.196805,76.877774
126,VASU CRAFT,28.1935725,76.8707223
127,"Pathak Drugs & Pharmaceuticals - Bhiwadi Rajasthan, Bihar",28.192859,76.870363
128,Jalla,28.131874,76.9859077
132,SHRILAXMI VIJAY STRIPS PVT. LTD.,28.2054621,76.8672861
133,RS COOKWARE PVT LTD,28.2049557,76.8638818
134,Goel Minerals,28.2050053,76.86363089999999
135,Raj Stationary Mart,28.2098248,76.8664831
138,Vardhman Hoses Pvt. Ltd.,28.218575,76.86932
139,Rahul Wire Ropes,28.207089,76.857682
140,"V K OIL AND CHEMICALS - Oil, Lubricants, Mobil in Bhiwadi",28.2084107,76.8584065
141,Aakash industries,28.2076919,76.85440750000001
142,Agrasen Trading Company,28.2083294,76.8539189
143,Sharad International - Plastic Trays and Air Bubble Sheets in Bhiwadi,28.219306,76.86161899999999
147,KR FOUR WHEEL MOTORS,28.2085695,76.8459306
149,Uma Glass Works,28.2113561,76.8465044
150,Kavita Enterprises,28.2088029,76.8446026
151,Shree Balaji Water Solution,28.2088171,76.84459989999999
152,"ERP , CRM , Website Designer",28.2088218,76.8446
153,ADUSUNS MEDICARE,28.2088218,76.84459989999999
154,Herbalforweightloss.com,28.20886,76.844385
157,Jaquar Unit 2,28.2164992,76.8450781
161,Harish Engineering Works,28.2314953,77.07371739999999
166,Atul Generators,28.241869,77.072947
167,VESTIGE DLCP SOHNA,28.2406104,77.07668040000001
168,Vestige DCC Center,28.2406328,77.0766556
169,Naveen Trading Co,28.2433614,77.0719373
170,"Maharaja Aggarsain, Commercial Complex, Sec- 9 Rohini",28.2468231,77.0666525
171,Innovative Tech Pack Limited,28.2477847,77.067127
172,Vaishali Welding Technology Pvt. Ltd.,28.24783,77.067482
173,Vita Dairy,28.2487826,77.0680722
174,Om sweets Sohna Main Road,28.2484182,77.07086989999999
175,Farhaan the shop,28.1626616,77.0320704
176,Azeem Niwas Badka,28.1717643,77.0150486
177,Akram CSC badka,28.170434,77.0139851
178,Aashik Kiryana Store,28.1696442,77.0138296
179,waseem advocate home,28.1719472,77.0137518
180,Aasik Ghar,28.1742816,77.053568
181,Mustkeem,28.1543705,77.01331189999999
182,Taufik General Store,28.1866394,77.01360199999999
183,Jubair Cool Point,28.1867581,77.0137129
184,Mama Haron Kirana Store,28.18691159999999,77.013835
185,Mustkeem,28.1908131,77.05190859999999
186,Bodey Chandanholiyaa,28.1572307,77.06593079999999
187,JOMKHA NAMBER DAR,28.1510032,76.9972207
188,Mohammad Fruits,28.173671,77.0707503
189,Adnan Medical Store,28.1734286,77.07078729999999
190,Iklas,28.1497358,77.06915889999999
191,CH.FATTU,28.20481850000001,77.0534538
192,CH.FATTU HOMES 48,28.20480539999999,77.05350460000001
193,Badakiya Wali masjid,28.184539,76.9863037
194,WASEEM AKRAM (PALACE),28.20878889999999,77.00894530000001
195,Retread Shop,28.2040821,77.0603684
196,KABIR जनरल स्टोर,28.1738838,77.0794705
197,pellu kiriyana store,28.2137339,77.02616640000001
198,New Haji Jumma MarketAadilkhan Kirana stor Shop No. 2,28.1271988,77.0420541
199,Relax footwear,28.1271988,77.0420541
205,Śhàhįď k k Puriya,28.1671263,77.1317237
206,Tarif Khan Kiryana store,28.16776290000001,77.1329293
207,Dagar Bhawan k k pur,28.1669238,77.1322337
208,Sagar Bhawan,28.1667356,77.1326842
209,SubedarRani Ke Basoy,28.1509671,77.11093290000001
210,shiv mandir kherli dausa,28.1558251,77.1042116
211,"Mange Ram Tyre Service, Indri (Nuh)",28.1854454,77.10071169999999
212,प्राचीन शिव मंदिर,28.187969,77.10195
213,Manish General Store,28.1873136,77.1004541
214,Liminous Power Technologies Pvt.ltd,28.1489176,77.1022764
215,Mahander Kumar General Store&building Material Store,28.1760046,77.1662666
216,Babu ram kiryana,28.1878586,77.099043
217,Mahander Kumar Buildimg Material,28.1752128,77.16650829999999
218,Plot Buying & Building Material Supplier,28.1749773,77.1667634
219,Umda Tiels,28.1910149,77.09857749999999
220,Mandkola -Silani Road KMP Crossing,28.157218,77.170637
221,Chamind mandir ka pass (BHARBHUJA Chowk,28.1473709,77.16523219999999
222,Stone Crusher,28.1708864,77.083873
223,Mod khalid R,28.1712848,77.0823482
224,KABIR जनरल स्टोर,28.1723864,77.0811772
225,Aakash Rajput bhawan,28.2130762,77.13313959999999
227,marvel universe,28.1924026,77.08539689999999
228,Shreesps Product,28.1361932,77.0942492
229,Sahabu kirana store,28.214259,77.11112140000002
230,"BEDAN SHOP, CHANDNI CHOWK",28.119517,77.1321485
231,Squats well,28.1414588,77.178072
232,RAOOFKIRANJ,28.1919732,77.1826854
234,Tofik Kiryana Store,28.1956152,77.1817416
236,HS Dagar General Store,28.1342804,77.1764264
237,Umed Kirana Store,28.1333328,77.1763751
238,R S MEDICAL STORE,28.1325782,77.17584169999999
239,LACHHIRAM KIRANA STORE,28.1329177,77.1766138
240,Sanjay Bhawan,28.1891729,77.242803
241,Veegee Inustrial Ent Pvt Ltd.,28.2092004,77.2722082
242,Niranjanbaghola Shop,28.2086196,77.3069395
243,World of computers in palwal.,28.153096,77.32167299999999
244,INTERIOR XPRESSION,28.1590383,77.3228311
245,Terra Motors Showroom,28.1543125,77.32885739999999
246,Jain Properties,28.145557,77.32686
247,Century metal recycle,28.2227028,77.3114964
248,Goyal Industries,28.144353,77.327041
249,Dagar Milk Products,28.1321542,77.3223915
250,Anil General Store,28.1899446,77.24497699999999
251,Gopal Sabji Wala,28.1901361,77.2446487
252,Devender Dixit genral store,28.19039879999999,77.24422729999999
253,Om medical,28.191007,77.243084
254,Dhatir Sharma Bike Reparing,28.1904254,77.24430269999999
255,DaaGaa Traders,28.1883214,77.2489222
256,Harsh Medical Store,28.1887584,77.24880820000001
257,Sahil Photo Studio (Pandit Ji),28.1889996,77.2485658
258,Musaka Mohalla,28.1604652,77.25632039999999
259,Dagar Communication,28.1889871,77.24868819999999
260,Surender Fast Food,28.1886077,77.2492293
261,Dksingh,28.1919797,77.24514959999999
262,Deepak Home,28.192058,77.2451406
263,Kundu Marketing Point,28.1624121,77.2592004
264,"Kalua tent house, DHATIR",28.1937743,77.245038
265,Naresh General Store,28.1906243,77.25028979999999
266,Brijpal general store,28.1900761,77.2512071
267,Reyansh Dagar,28.191422,77.250098
268,Chandiram Khal,28.1904934,77.2514089
269,Mamraj Tea Stall & Mudha Makers,28.1977637,77.225027
270,Mohit Electronic,28.1928515,77.2491364
271,Sumith General Store By Lokesh Dagar,28.1928515,77.2491365
272,Kishopur Mod,28.1928515,77.2491365
273,Deepak gernal store,28.1916993,77.25235780000001
274,Rudra Homoeopathy,28.1773777,77.2644297
275,Jassi dagar Hindu,28.2045683,77.2313939
276,Sai City Mindkola,28.1444708,77.2007889
277,MEMBER CAMTHI..,28.14066739999999,77.2058
278,dagar's shop,28.1972246,77.2574948
279,Lalchand,28.137887,77.206043
280,Videocon Service Center,28.149295,77.3388361
282,Food Supplements Universal Health Care Centre,28.135199,77.331003
