,0,1,2
0,Bawal,28.1094308,76.6025423
1,Bajaj Allianz Life Insurance Co. Ltd,28.1908028,76.6124404
2,OYO 17291 Shree Ram Palace,28.2085045,76.6182611
3,STARiHOTELS Azad Chowk Rewari,28.2003392,76.62391989999999
4,Rudrakash Resort,28.1969432,76.5988603
5,Rudraksh,28.1947391,76.5925491
6,Axis Bank,28.192,76.61399999999999
7,"Sir Shadi Lal Civil Hospital, Rewari",28.2022162,76.6197902
8,DR. ANIL YADAV DENTAL HOSPITAL & MAXILLOFACIAL TRAUMA CENTRE,28.1911476,76.6117259
9,ICICI Bank ATM,28.194512,76.620922
10,Central Bank of India,28.1979626,76.60833989999999
11,Bharat Sanchar Nigam Limited,28.20296069999999,76.6191584
12,B.P.Chemicals,28.1995055,76.61645089999999
13,Bharat Sanchar Nigam Limited,28.202614,76.6165951
14,Oriental Bank of Commerce,28.1980187,76.6243628
15,G. S. Enterprises,28.18510479999999,76.6117001
16,Canara Bank,28.2023626,76.6154803
17,Sonu Gift Palace & Studio,28.1881704,76.6171565
18,Hindustan Metal,28.2045144,76.6557102
19,Industrial Model Township,28.0986229,76.6008334
20,Krishna Machines,28.2045144,76.6557102
21,P. G. Goyal Industries,28.2045144,76.6557102
22,Indian Overseas Bank,28.1970722,76.6239028
23,Life Insurance Corporation of India,28.1910802,76.6118328
24,PNB ATM,28.18635969999999,76.6203958
25,R.B. Umrao Singh Jain Industries,28.2045144,76.6557102
26,Sis Soft Consulting Pvt. Ltd.,28.201465,76.61099
27,Lalita Memorial Multispeciality Hospital,28.1929,76.613152
28,Excellent Solution,28.18947199999999,76.609766
29,Punjab National Bank,28.20231859999999,76.6150206
30,MPGoyal Group,28.1888112,76.609511
31,Denso Ten Minda India Pvt. Ltd.,28.1164807,76.6189095
32,HK Global Solutions,28.1876765,76.6188135
33,Vijay Perforators,28.1926025,76.6331062
34,Punia Udyog,28.202578,76.646751
35,Best Property Dealer In Rewari - Karan Associates,28.17903249999999,76.6158409
36,Amazed Planet Software Training,28.19033,76.61286419999999
37,new india assurance company,28.2017263,76.6153625
38,M/s COMPUTER CARE,28.1980329,76.6146424
39,Kalawati Hospital,28.189861,76.61736499999999
40,Bhiwadi,28.2014149,76.8275503
41,Rajesh K Insurance Agent,28.1840892,76.7105632
42,Web and Software Solution,28.1840892,76.7105632
43,"Bharat Petroleum, Petrol Pump -Golden Filling Station",28.1727911,76.7024338
44,Nidhi Auto Private Ltd,28.17254399999999,76.71710999999999
45,Air Liquide,28.2094333,76.7730081
46,Choudhary properties,28.196326,76.790842
47,INFINITE GROUPS,28.1840892,76.7105632
48,Magma Fincorp Ltd.,28.1840892,76.7105632
49,Flats in Dharuhera,28.205868,76.743836
50,H. R. Food Industries,28.1840892,76.7105632
51,BSNL Internet E-Gram Seva Kendra,28.184089,76.710563
52,website designing,28.1840892,76.7105632
53,Alternator Rewinding Ht In India,28.1614381,76.68458319999999
54,Guru Gobind Electrolugs,28.1840892,76.7105632
55,Koshaliya,28.1840892,76.7105632
56,HP Petrol Pump,28.17514499999999,76.70577399999999
57,Kunwar Manohar Auto Fuels Hindustan Petroleum,28.184596,76.721262
58,Deluxe Transport Company,28.1874079,76.726165
59,Rewari,28.1919738,76.6190774
60,Om Precast,28.1878157,76.7234863
